team,team_abbr,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022
ARIZONA,ARI,,,,,,,,$119.80 ,$124.32 ,$120.32 ,$112.43 ,$115.17 ,119.84,132.92,145.97,147.71,$154.71,$162.84 ,114.24,115.24,120.96,145.94,122.53,126.89,126.89,$132.10,145.58,142.42,$144.54,$144.25,152.3
ATLANTA,ATL,$68.14 ,$86.10 ,$97.04 ,$113.00 ,$113.00 ,$121.74 ,$135.72 ,$134.72 ,$144.34 ,$160.12 ,$156.08 ,$155.35 ,154.55,144.55,145.55,145.78,$150.68,$157.19 ,157.69,157.69,169.02,171.74,170.78,171.62,174.06,$178.02,217.84,222.74,$236.89,$242.96,255.82
BALTIMORE,BAL,$73.92 ,$82.60 ,$102.98 ,$105.18 ,$113.56 ,$113.56 ,$124.58 ,$135.58 ,$139.28 ,$138.60 ,$131.22 ,$141.42 ,148.11,157.62,158.62,158.62,$159.79,$165.40 ,163.68,172.18,174.1,176.04,169.06,173.39,163.39,$183.34,187.8,187.8,$148.94,$245.77,203.06
BOSTON,BOS,$94.02 ,$94.48 ,$100.18 ,$102.54 ,$112.54 ,$117.72 ,$129.22 ,$144.52 ,$160.20 ,$168.82 ,$209.44 ,$228.73 ,238.75,263.09,276.24,287.84,$313.83,$320.71 ,326.45,$334.78 ,$339.01 ,$336.99 ,$336.99 ,$350.78 ,$350.86,$360.66,345.88,354.54,$361.43,$376.49,385.37
CALIFORNIA/ANAHEIM/LA,LAA,$76.54 ,$84.58 ,$84.58 ,$90.24 ,$90.24 ,$92.26 ,$101.72 ,$113.32 ,$121.88 ,$117.88 ,$110.80 ,$113.76 ,130.21,133.01,125.78,134.32,$136.63,$140.42 ,141.18,131.8,129.5,159.82,196.16,195.6,190.16,$210.80,194.02,197.66,$197.53,$193.66,208.1
CHICAGO CUBS,CHC,$83.40 ,$96.98 ,$103.96 ,$108.98 ,$112.68 ,$116.48 ,$121.02 ,$120.18 ,$134.84 ,$135.32 ,$166.25 ,$181.69 ,172.84,194.31,210.01,219.21,$219.21,$251.96 ,305,329.74,305.6,300.29,298.2,304.64,300.73,$312.32,368.28,370.12,$363.65,$364.38,364.83
CHICAGO WHITE SOX,CWS,$81.54 ,$96.80 ,$97.80 ,$106.14 ,$110.72 ,$118.94 ,$115.32 ,$120.92 ,$123.16 ,$122.70 ,$138.59 ,$159.09 ,159.09,171.35,188.07,191.26,$205.63,$214.61 ,224.11,249.6,258.68,222.98,210.18,210.18,208.18,$229.50,216.9,223.5,$216.78,$253.25,274.77
CINCINNATI,CIN,$73.84 ,$72.30 ,$77.30 ,$79.30 ,$81.30 ,$81.30 ,$82.48 ,$89.98 ,$96.34 ,$104.46 ,$129.14 ,$127.14 ,140.52,140.6,145.1,156.6,$158.35,$167.14 ,144.76,151.26,162.24,165.94,165.39,168.12,166.62,$166.54,191.06,204.56,$217.55,$218.20,214.36
CLEVELAND,CLE,$69.04 ,$74.30 ,$87.30 ,$103.74 ,$99.74 ,$115.08 ,$116.66 ,$126.90 ,$133.22 ,$142.82 ,$150.81 ,$161.31 ,161.31,152.65,156.18,157.66,$156.77,$192.38 ,180.49,180.49,170.96,173.66,157.36,162.24,166.52,$179.44,210.16,219.64,$226.41,$244.50,217.87
COLORADO,COL,,,$81.14 ,$82.10 ,$99.44 ,$103.44 ,$116.54 ,$132.66 ,$135.16 ,$130.50 ,$138.34 ,$141.34 ,141.34,140.9,141.68,140.88,$148.00,$160.00 ,161,161,161,184.2,196.6,201.6,196.6,$193.96,198.06,214.64,$214.27,$213.63,208.9
DETROIT,DET,$83.49 ,$82.94 ,$92.18 ,$103.44 ,$96.40 ,$109.40 ,$108.10 ,$102.10 ,$108.42 ,$165.32 ,$160.80 ,$160.76 ,157.44,149.61,157.93,162.93,$166.80,$190.13 ,205.02,172.92,207.28,233.49,207.42,219.88,213.03,$214.52,201.6,212.22,$214.18,$215.04,216.74
FLORIDA/Miami,MIA,,,$98.82 ,$92.18 ,$86.10 ,$92.98 ,$93.06 ,$102.60 ,$100.02 ,$104.14 ,$110.84 ,$110.84 ,112.38,112.88,147.04,154.12,$155.78,$164.26 ,170.24,170.24,170.24,242.47,230.05,221.02,224.83,$214.22,229.02,175.68,$175.76,$174.54,186.06
HOUSTON,HOU,$76.82 ,$85.54 ,$80.54 ,$86.64 ,$87.64 ,$94.60 ,$105.60 ,$108.52 ,$120.30 ,$161.76 ,$143.19 ,$157.81 ,165.45,176.99,182.64,191.78,$195.59,$215.43 ,209.93,212.16,221.36,224.33,224.33,215.9,220.28,$242.00,262.98,313.38,$337.39,$347.82,354.72
KANSAS CITY,KC,$70.04 ,$86.30 ,$86.30 ,$98.80 ,$98.20 ,$96.96 ,$85.10 ,$96.26 ,$110.18 ,$100.68 ,$119.55 ,$113.70 ,112.03,120.67,119.85,120.35,$123.42,$151.16 ,161.52,161.52,159.8,185.33,172.32,191.91,212.04,$202.52,233.3,230.34,$225.94,$225.26,243.62
LOS ANGELES DODGERS,LAD,$74.48 ,$87.60 ,$88.60 ,$90.72 ,$90.72 ,$96.76 ,$104.14 ,$111.84 ,$123.60 ,$140.96 ,$142.04 ,$145.53 ,147.53,151.71,158.98,175.36,$210.63,$229.14 ,221.64,221.64,226.36,213.36,204.95,217.69,218.94,$234.10,268.02,274.98,$298.34,$307.88,326.91
MILWAUKEE,MIL,$77.12 ,$87.58 ,$91.70 ,$87.54 ,$86.54 ,$85.98 ,$94.32 ,$97.12 ,$95.82 ,$100.68 ,$124.08 ,$130.76 ,128.96,124.96,130.96,131.94,$134.77,$141.52 ,145.92,160.4,160.4,171.52,176.8,176.84,182.28,$190.28,210.4,209.76,$232.09,$239.76,251.88
MINNESOTA,MIN,$74.17 ,$80.72 ,$82.64 ,$90.60 ,$97.60 ,$100.64 ,$97.38 ,$97.88 ,$97.84 ,$102.32 ,$130.33 ,$121.13 ,127.01,131.68,146.49,149.04,$158.07,$165.71 ,169.81,206.88,213.16,225.14,221.36,215.36,229.36,$212.12,237.72,210.72,$216.54,$229.14,226.89
N.Y. METS,NYM,$86.40 ,$86.46 ,$86.46 ,$91.06 ,$91.06 ,$104.82 ,$114.24 ,$132.94 ,$154.56 ,$175.66 ,$175.61 ,$177.02 ,182.79,184.77,185.13,207.13,$219.04,$251.19 ,258.97,226.88,241.74,230.44,223.7,229.68,219.68,$223.56,244.38,247.38,$247.11,$255.28,258.95
N.Y. YANKEES,NYY,$89.16 ,$101.62 ,$113.42 ,$115.26 ,$118.04 ,$117.32 ,$134.44 ,$148.54 ,$166.82 ,$174.54 ,$178.44 ,$178.44 ,182.74,193.86,193.86,208.57,$222.53,$259.84 ,$410.88 ,316.32,338.32,324.3,324.3,337.2,337.2,$337.20,301.46,293.96,$309.81,$340.08,348.84
OAKLAND,ATH,$99.24 ,$92.16 ,$99.96 ,$100.48 ,$101.48 ,$104.36 ,$94.62 ,$98.82 ,$92.78 ,$94.08 ,$120.78 ,$124.25 ,139.61,143.97,152.64,170.41,$185.53,$206.80 ,187.23,179.16,178.09,186.55,180.48,200.36,195,$198.84,199.52,212.1,$209.48,$240.78,259.22
PHILADELPHIA,PHI,$76.60 ,$77.80 ,$82.80 ,$91.00 ,$91.00 ,$111.54 ,$100.22 ,$94.13 ,$121.90 ,$126.86 ,$131.20 ,$137.42 ,149.28,187.31,189.31,193.91,$196.00,$199.56 ,219.9,227.46,240.66,257.16,257.16,258.18,252.18,$258.50,250.14,250.16,$251.07,$268.24,269.16
PITTSBURGH,PIT,$73.16 ,$83.42 ,$91.42 ,$93.42 ,$93.92 ,$96.36 ,$86.44 ,$94.82 ,$99.04 ,$107.72 ,$150.05 ,$151.08 ,147.13,143.31,143.31,138.81,$139.77,$146.32 ,135.06,126.56,127.71,152.41,164.84,169.28,175.95,$195.84,178.72,182.42,$176.32,$183.86,199.23
SAN DIEGO,SD,$73.16 ,$82.66 ,$85.30 ,$83.34 ,$82.98 ,$86.52 ,$101.66 ,$102.86 ,$114.18 ,$124.56 ,$127.46 ,$133.27 ,146.42,154.65,176.32,180.32,$168.03,$201.72 ,172.04,120.6,125.81,150.66,151.94,153.45,153.45,$182.82,192.12,195.88,$206.53,$210.74,237.74
SAN FRANCISCO,SF,$87.26 ,$86.42 ,$87.24 ,$100.78 ,$102.14 ,$121.44 ,$110.20 ,$108.88 ,$110.52 ,$161.13 ,$163.89 ,$169.36 ,178.56,168.47,191.37,201.62,$212.95,$183.74 ,222.63,220.66,208.15,224.32,237.87,239.51,241.13,$255.04,271.7,278.2,$276.82,$297.66,308.36
SEATTLE,SEA,$74.00 ,$77.42 ,$85.34 ,$95.42 ,$95.42 ,$106.36 ,$118.60 ,$125.76 ,$136.80 ,$179.72 ,$180.92 ,$173.40 ,175.67,172.03,172.03,186.03,$186.03,$191.16 ,184.62,183.6,183.59,195.57,203.78,207.8,212,$209.00,251.32,258.06,$255.53,$257.85,232.49
ST. LOUIS,STL,$69.28 ,$78.54 ,$78.54 ,$91.74 ,$91.70 ,$91.64 ,$105.88 ,$129.38 ,$127.32 ,$133.42 ,$151.93 ,$151.93 ,168.95,170.49,177.66,207.21,$209.23,$217.28 ,214.72,216.56,223.18,224.76,230.94,233.86,236.81,$243.96,257.16,254.46,$259.91,$259.65,265.18
TAMPA BAY,TB,,,,,,,,$131.74 ,$120.78 ,$120.64 ,$132.55 ,$138.32 ,149.52,146.8,143.81,129.87,$136.91,$136.91 ,165.4,141,139.68,153.3,155.54,170.02,157.6,$154.16,156.4,160.12,$169.25,$179.86,192.02
TEXAS,TEX,$71.68 ,$84.72 ,$92.72 ,$99.28 ,$100.28 ,$101.84 ,$113.18 ,$127.46 ,$139.30 ,$156.56 ,$150.21 ,$150.21 ,139.25,130.82,136.14,134.24,$141.88,$148.04 ,150.64,167.6,159.4,183.93,196.13,203.14,190.54,$204.56,217.76,220.98,$272.48,$286.52,277.31
TORONTO,TOR,$106.69 ,$112.84 ,$116.12 ,$113.52 ,$101.00 ,$95.20 ,$106.21 ,$107.76 ,$112.07 ,$112.33 ,$114.66 ,$121.26 ,155.18,166.51,164.53,182.71,$182.51,$230.46 ,166.39,208.21,212.68,216.89,229.84,217.69,208.28,$231.76,213.9,216.51,N/A,$461.70,230.78
WASHINGTON,WAS,$81.44 ,$91.84 ,$86.12 ,$82.90 ,$86.03 ,$90.69 ,$86.67 ,$93.78 ,$87.87 ,$88.55 ,$76.77 ,$84.89 ,100.13,108.83,169.72,169.51,$147.94,$195.50 ,215.52,215.52,196.34,198.16,236.46,227.96,232.08,$234.36,266.06,296.48,$313.14,$338.53,320.8