year,team_abbr,team_name_full,stadium,attendance_total,attendance_game
2025,ARI,Arizona Diamondbacks,Chase Field,"2,393,973","29,555"
2025,ATH,Athletics,Sutter Health Park,"768,464","9,487"
2025,ATL,Atlanta Braves,Truist Park,"2,903,167","35,842"
2025,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"1,803,655","22,267"
2025,BOS,Boston Red Sox,Fenway Park,"2,776,496","34,278"
2025,CHC,Chicago Cubs,Wrigley Field,"3,017,983","37,259"
2025,CWS,Chicago White Sox,Guaranteed Rate Field,"1,445,738","17,849"
2025,CIN,Cincinnati Reds,Great American Ball Park,"2,170,963","26,802"
2025,CLE,Cleveland Guardians,Progressive Field,"2,051,360","25,325"
2025,COL,Colorado Rockies,Coors Field,"2,404,613","29,687"
2025,DET,Detroit Tigers,Comerica Park,"2,413,442","29,796"
2025,HOU,Houston Astros,Daikin Park,"2,727,877","33,677"
2025,KC,Kansas City Royals,Kauffman Stadium,"1,748,801","21,590"
2025,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"2,615,506","32,290"
2025,LAD,Los Angeles Dodgers,Dodger Stadium,"4,012,470","49,537"
2025,MIA,Miami Marlins,loanDepot park,"1,156,880","14,282"
2025,MIL,Milwaukee Brewers,American Family Field,"2,650,089","32,717"
2025,MIN,Minnesota Twins,Target Field,"1,768,728","21,836"
2025,NYM,New York Mets,Citi Field,"3,184,570","39,316"
2025,NYY,New York Yankees,Yankee Stadium III,"3,392,659","41,885"
2025,PHI,Philadelphia Phillies,Citizens Bank Park,"3,375,457","41,672"
2025,PIT,Pittsburgh Pirates,PNC Park,"1,525,025","18,827"
2025,SD,San Diego Padres,Petco Park,"3,437,201","42,435"
2025,SF,San Francisco Giants,Oracle Park,"2,925,823","36,121"
2025,SEA,Seattle Mariners,T-Mobile Park,"2,538,053","31,334"
2025,STL,St. Louis Cardinals,Busch Stadium III,"2,250,007","27,778"
2025,TB,Tampa Bay Rays,Steinbrenner Field,"786,750","9,713"
2025,TEX,Texas Rangers,Globe Life Field,"2,397,069","29,593"
2025,TOR,Toronto Blue Jays,Rogers Centre,"2,849,935","35,184"
2025,WAS,Washington Nationals,Nationals Park,"1,916,768","23,664"
2024,ARI,Arizona Diamondbacks,Chase Field,"2,341,876","28,912"
2024,ATL,Atlanta Braves,Truist Park,"3,011,755","37,182"
2024,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,281,129","28,162"
2024,BOS,Boston Red Sox,Fenway Park,"2,659,949","32,839"
2024,CHC,Chicago Cubs,Wrigley Field,"2,909,794","35,923"
2024,CWS,Chicago White Sox,Guaranteed Rate Field,"1,380,733","17,046"
2024,CIN,Cincinnati Reds,Great American Ball Park,"2,024,178","24,990"
2024,CLE,Cleveland Guardians,Progressive Field,"2,056,264","25,703"
2024,COL,Colorado Rockies,Coors Field,"2,540,195","31,360"
2024,DET,Detroit Tigers,Comerica Park,"1,858,295","22,942"
2024,HOU,Houston Astros,Minute Maid Park,"2,835,234","35,003"
2024,KC,Kansas City Royals,Kauffman Stadium,"1,658,347","20,473"
2024,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"2,577,597","31,822"
2024,LAD,Los Angeles Dodgers,Dodger Stadium,"3,941,251","48,657"
2024,MIA,Miami Marlins,loanDepot park,"1,087,455","13,425"
2024,MIL,Milwaukee Brewers,American Family Field,"2,537,202","31,323"
2024,MIN,Minnesota Twins,Target Field,"1,951,616","24,094"
2024,NYM,New York Mets,Citi Field,"2,329,299","28,757"
2024,NYY,New York Yankees,Yankee Stadium III,"3,309,838","40,862"
2024,ATH,Oakland Athletics,Oakland Coliseum,"922,286","11,386"
2024,PHI,Philadelphia Phillies,Citizens Bank Park,"3,363,712","41,527"
2024,PIT,Pittsburgh Pirates,PNC Park,"1,720,361","21,239"
2024,SD,San Diego Padres,Petco Park,"3,330,545","41,118"
2024,SF,San Francisco Giants,Oracle Park,"2,647,736","32,688"
2024,SEA,Seattle Mariners,T-Mobile Park,"2,555,813","31,553"
2024,STL,St. Louis Cardinals,Busch Stadium III,"2,878,115","35,532"
2024,TB,Tampa Bay Rays,Tropicana Field,"1,337,739","16,515"
2024,TEX,Texas Rangers,Globe Life Field,"2,651,553","32,735"
2024,TOR,Toronto Blue Jays,Rogers Centre,"2,681,236","33,102"
2024,WAS,Washington Nationals,Nationals Park,"1,967,302","24,288"
2023,ARI,Arizona Diamondbacks,Chase Field,"1,961,182","24,212"
2023,ATL,Atlanta Braves,Truist Park,"3,191,505","39,401"
2023,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"1,936,798","23,911"
2023,BOS,Boston Red Sox,Fenway Park,"2,672,130","32,989"
2023,CHC,Chicago Cubs,Wrigley Field,"2,775,149","34,261"
2023,CWS,Chicago White Sox,Guaranteed Rate Field,"1,669,628","20,613"
2023,CIN,Cincinnati Reds,Great American Ball Park,"2,038,302","25,164"
2023,CLE,Cleveland Guardians,Progressive Field,"1,834,068","22,643"
2023,COL,Colorado Rockies,Coors Field,"2,607,935","32,197"
2023,DET,Detroit Tigers,Comerica Park,"1,612,876","19,912"
2023,HOU,Houston Astros,Minute Maid Park,"3,052,347","37,683"
2023,KC,Kansas City Royals,Kauffman Stadium,"1,307,052","16,136"
2023,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"2,640,575","32,600"
2023,LAD,Los Angeles Dodgers,Dodger Stadium,"3,837,079","47,371"
2023,MIA,Miami Marlins,loanDepot park,"1,162,819","14,356"
2023,MIL,Milwaukee Brewers,American Family Field,"2,551,347","31,498"
2023,MIN,Minnesota Twins,Target Field,"1,974,124","24,372"
2023,NYM,New York Mets,Citi Field,"2,573,555","31,772"
2023,NYY,New York Yankees,Yankee Stadium III,"3,269,016","40,358"
2023,ATH,Oakland Athletics,Oakland Coliseum,"832,352","10,276"
2023,PHI,Philadelphia Phillies,Citizens Bank Park,"3,052,605","37,686"
2023,PIT,Pittsburgh Pirates,PNC Park,"1,630,624","20,131"
2023,SD,San Diego Padres,Petco Park,"3,271,554","40,390"
2023,SF,San Francisco Giants,Oracle Park,"2,500,153","30,866"
2023,SEA,Seattle Mariners,T-Mobile Park,"2,690,418","33,215"
2023,STL,St. Louis Cardinals,Busch Stadium III,"3,241,091","40,013"
2023,TB,Tampa Bay Rays,Tropicana Field,"1,440,301","17,781"
2023,TEX,Texas Rangers,Globe Life Field,"2,533,044","31,272"
2023,TOR,Toronto Blue Jays,Rogers Centre,"3,021,904","37,307"
2023,WAS,Washington Nationals,Nationals Park,"1,865,832","23,035"
2022,ARI,Arizona Diamondbacks,Chase Field,"1,605,199","19,817"
2022,ATL,Atlanta Braves,Truist Park,"3,129,931","38,641"
2022,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"1,368,367","16,893"
2022,BOS,Boston Red Sox,Fenway Park,"2,625,089","32,409"
2022,CHC,Chicago Cubs,Wrigley Field,"2,616,780","32,306"
2022,CWS,Chicago White Sox,Guaranteed Rate Field,"2,009,359","24,807"
2022,CIN,Cincinnati Reds,Great American Ball Park,"1,395,770","17,232"
2022,CLE,Cleveland Guardians,Progressive Field,"1,295,870","15,998"
2022,COL,Colorado Rockies,Coors Field,"2,597,428","32,067"
2022,DET,Detroit Tigers,Comerica Park,"1,575,544","19,214"
2022,HOU,Houston Astros,Minute Maid Park,"2,688,998","33,198"
2022,KC,Kansas City Royals,Kauffman Stadium,"1,277,686","15,774"
2022,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"2,457,461","30,339"
2022,LAD,Los Angeles Dodgers,Dodger Stadium,"3,861,408","47,672"
2022,MIA,Miami Marlins,loanDepot park,"907,487","11,204"
2022,MIL,Milwaukee Brewers,American Family Field,"2,422,420","29,906"
2022,MIN,Minnesota Twins,Target Field,"1,801,128","22,236"
2022,NYM,New York Mets,Citi Field,"2,564,737","31,663"
2022,NYY,New York Yankees,Yankee Stadium III,"3,136,207","38,719"
2022,ATH,Oakland Athletics,RingCentral Coliseum,"787,902","9,849"
2022,PHI,Philadelphia Phillies,Citizens Bank Park,"2,276,736","28,108"
2022,PIT,Pittsburgh Pirates,PNC Park,"1,257,458","15,524"
2022,SD,San Diego Padres,Petco Park,"2,987,470","36,882"
2022,SF,San Francisco Giants,Oracle Park,"2,482,686","30,650"
2022,SEA,Seattle Mariners,T-Mobile Park,"2,287,267","28,238"
2022,STL,St. Louis Cardinals,Busch Stadium III,"3,320,551","40,994"
2022,TB,Tampa Bay Rays,Tropicana Field,"1,128,127","13,927"
2022,TEX,Texas Rangers,Globe Life Field,"2,011,361","24,832"
2022,TOR,Toronto Blue Jays,Rogers Centre,"2,653,830","32,763"
2022,WAS,Washington Nationals,Nationals Park,"2,026,401","25,017"
2021,ARI,Arizona Diamondbacks,Chase Field,"1,043,010","12,877"
2021,ATL,Atlanta Braves,Truist Park,"2,299,647","28,746"
2021,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"793,229","9,793"
2021,BOS,Boston Red Sox,Fenway Park,"1,725,323","21,300"
2021,CHC,Chicago Cubs,Wrigley Field,"1,978,934","24,431"
2021,CWS,Chicago White Sox,Guaranteed Rate Field,"1,596,385","19,708"
2021,CIN,Cincinnati Reds,Great American Ball Park,"1,505,024","18,581"
2021,CLE,Cleveland Indians,Progressive Field,"1,114,368","13,758"
2021,COL,Colorado Rockies,Coors Field,"1,938,645","23,934"
2021,DET,Detroit Tigers,Comerica Park,"1,102,621","13,613"
2021,HOU,Houston Astros,Minute Maid Park,"2,068,509","25,537"
2021,KC,Kansas City Royals,Kauffman Stadium,"1,159,613","14,316"
2021,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"1,515,689","18,484"
2021,LAD,Los Angeles Dodgers,Dodger Stadium,"2,804,693","34,626"
2021,MIA,Miami Marlins,loanDepot park,"642,617","7,934"
2021,MIL,Milwaukee Brewers,American Family Field,"1,824,282","22,522"
2021,MIN,Minnesota Twins,Target Field,"1,310,199","16,175"
2021,NYM,New York Mets,Citi Field,"1,511,926","18,666"
2021,NYY,New York Yankees,Yankee Stadium III,"1,959,854","24,196"
2021,ATH,Oakland Athletics,RingCentral Coliseum,"701,430","8,660"
2021,PHI,Philadelphia Phillies,Citizens Bank Park,"1,515,890","18,715"
2021,PIT,Pittsburgh Pirates,PNC Park,"859,498","10,611"
2021,SD,San Diego Padres,Petco Park,"2,191,950","27,061"
2021,SF,San Francisco Giants,Oracle Park,"1,679,484","20,734"
2021,SEA,Seattle Mariners,T-Mobile Park,"1,215,985","15,012"
2021,STL,St. Louis Cardinals,Busch Stadium III,"2,102,530","25,957"
2021,TB,Tampa Bay Rays,Tropicana Field,"761,072","9,396"
2021,TEX,Texas Rangers,Globe Life Field,"2,110,258","26,053"
2021,TOR,Toronto Blue Jays,"Rogers Centre, Sahlen Field, TD Ballpark","805,901","10,074"
2021,WAS,Washington Nationals,Nationals Park,"1,465,543","18,093"
2019,ARI,Arizona Diamondbacks,Chase Field,"2,135,510","26,364"
2019,ATL,Atlanta Braves,SunTrust Park,"2,654,920","32,777"
2019,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"1,307,807","16,146"
2019,BOS,Boston Red Sox,Fenway Park,"2,915,502","35,994"
2019,CHC,Chicago Cubs,Wrigley Field,"3,094,865","38,208"
2019,CWS,Chicago White Sox,Guaranteed Rate Field,"1,649,775","20,622"
2019,CIN,Cincinnati Reds,Great American Ball Park,"1,809,075","22,334"
2019,CLE,Cleveland Indians,Progressive Field,"1,738,642","21,465"
2019,COL,Colorado Rockies,Coors Field,"2,993,244","36,954"
2019,DET,Detroit Tigers,Comerica Park,"1,501,430","18,536"
2019,HOU,Houston Astros,Minute Maid Park,"2,857,367","35,276"
2019,KC,Kansas City Royals,Kauffman Stadium,"1,479,659","18,267"
2019,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"3,023,012","37,321"
2019,LAD,Los Angeles Dodgers,Dodger Stadium,"3,974,309","49,066"
2019,MIA,Miami Marlins,Marlins Park,"811,302","10,016"
2019,MIL,Milwaukee Brewers,Miller Park,"2,923,333","36,091"
2019,MIN,Minnesota Twins,Target Field,"2,303,299","28,436"
2019,NYM,New York Mets,Citi Field,"2,442,532","30,155"
2019,NYY,New York Yankees,Yankee Stadium III,"3,304,404","40,795"
2019,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,"1,670,734","20,626"
2019,PHI,Philadelphia Phillies,Citizens Bank Park,"2,727,421","33,672"
2019,PIT,Pittsburgh Pirates,PNC Park,"1,491,439","18,413"
2019,SD,San Diego Padres,Petco Park,"2,396,399","29,585"
2019,SF,San Francisco Giants,Oracle Park,"2,707,760","33,429"
2019,SEA,Seattle Mariners,T-Mobile Park,"1,791,109","22,112"
2019,STL,St. Louis Cardinals,Busch Stadium III,"3,480,393","42,968"
2019,TB,Tampa Bay Rays,Tropicana Field,"1,178,735","14,552"
2019,TEX,Texas Rangers,Globe Life Park in Arlington,"2,132,994","26,333"
2019,TOR,Toronto Blue Jays,Rogers Centre,"1,750,144","21,607"
2019,WAS,Washington Nationals,Nationals Park,"2,259,781","27,899"
2018,ARI,Arizona Diamondbacks,Chase Field,"2,242,695","27,688"
2018,ATL,Atlanta Braves,SunTrust Park,"2,555,781","31,553"
2018,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"1,564,192","19,311"
2018,BOS,Boston Red Sox,Fenway Park,"2,895,575","35,748"
2018,CHC,Chicago Cubs,Wrigley Field,"3,181,089","38,794"
2018,CWS,Chicago White Sox,Guaranteed Rate Field,"1,608,817","19,862"
2018,CIN,Cincinnati Reds,Great American Ball Park,"1,629,356","20,116"
2018,CLE,Cleveland Indians,Progressive Field,"1,926,701","23,786"
2018,COL,Colorado Rockies,Coors Field,"3,015,880","37,233"
2018,DET,Detroit Tigers,Comerica Park,"1,856,970","22,926"
2018,HOU,Houston Astros,Minute Maid Park,"2,980,549","36,797"
2018,KC,Kansas City Royals,Kauffman Stadium,"1,665,107","20,557"
2018,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"3,020,216","37,287"
2018,LAD,Los Angeles Dodgers,Dodger Stadium,"3,857,500","47,043"
2018,MIA,Miami Marlins,Marlins Park,"811,104","10,014"
2018,MIL,Milwaukee Brewers,Miller Park,"2,850,875","35,196"
2018,MIN,Minnesota Twins,Target Field,"1,959,197","24,188"
2018,NYM,New York Mets,Citi Field,"2,224,995","27,469"
2018,NYY,New York Yankees,Yankee Stadium III,"3,482,855","42,998"
2018,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,"1,573,616","19,427"
2018,PHI,Philadelphia Phillies,Citizens Bank Park,"2,158,124","26,644"
2018,PIT,Pittsburgh Pirates,PNC Park,"1,465,316","18,316"
2018,SD,San Diego Padres,Petco Park,"2,168,536","26,772"
2018,SF,San Francisco Giants,AT&T Park,"3,156,185","38,965"
2018,SEA,Seattle Mariners,Safeco Field,"2,299,489","28,389"
2018,STL,St. Louis Cardinals,Busch Stadium III,"3,403,587","42,020"
2018,TB,Tampa Bay Rays,Tropicana Field,"1,154,973","14,259"
2018,TEX,Texas Rangers,Globe Life Park in Arlington,"2,107,107","26,014"
2018,TOR,Toronto Blue Jays,Rogers Centre,"2,325,281","28,707"
2018,WAS,Washington Nationals,Nationals Park,"2,529,604","31,230"
2017,ARI,Arizona Diamondbacks,Chase Field,"2,134,375","26,350"
2017,ATL,Atlanta Braves,SunTrust Park,"2,505,252","30,929"
2017,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,028,424","25,042"
2017,BOS,Boston Red Sox,Fenway Park,"2,917,678","36,021"
2017,CHC,Chicago Cubs,Wrigley Field,"3,199,562","39,501"
2017,CWS,Chicago White Sox,Guaranteed Rate Field,"1,629,470","20,117"
2017,CIN,Cincinnati Reds,Great American Ball Park,"1,836,917","22,678"
2017,CLE,Cleveland Indians,Progressive Field,"2,048,138","25,286"
2017,COL,Colorado Rockies,Coors Field,"2,953,650","36,465"
2017,DET,Detroit Tigers,Comerica Park,"2,321,599","28,662"
2017,HOU,Houston Astros,"Minute Maid Park, Tropicana Field","2,403,671","29,675"
2017,KC,Kansas City Royals,Kauffman Stadium,"2,220,370","27,412"
2017,LAA,Los Angeles Angels,Angel Stadium of Anaheim,"3,019,585","37,279"
2017,LAD,Los Angeles Dodgers,Dodger Stadium,"3,765,856","46,492"
2017,MIA,Miami Marlins,Marlins Park,"1,583,014","20,295"
2017,MIL,Milwaukee Brewers,Miller Park,"2,627,705","31,282"
2017,MIN,Minnesota Twins,Target Field,"2,051,279","25,324"
2017,NYM,New York Mets,Citi Field,"2,460,622","30,378"
2017,NYY,New York Yankees,Yankee Stadium III,"3,154,938","38,950"
2017,ATH,Oakland Athletics,Oakland-Alameda County Coliseum,"1,475,721","18,219"
2017,PHI,Philadelphia Phillies,Citizens Bank Park,"1,905,354","23,523"
2017,PIT,Pittsburgh Pirates,PNC Park,"1,919,447","23,697"
2017,SD,San Diego Padres,Petco Park,"2,138,491","26,401"
2017,SF,San Francisco Giants,AT&T Park,"3,303,652","40,786"
2017,SEA,Seattle Mariners,Safeco Field,"2,135,445","26,364"
2017,STL,St. Louis Cardinals,Busch Stadium III,"3,448,337","42,572"
2017,TB,Tampa Bay Rays,Tropicana Field,"1,253,619","15,477"
2017,TEX,Texas Rangers,Globe Life Park in Arlington,"2,507,760","30,960"
2017,TOR,Toronto Blue Jays,Rogers Centre,"3,203,886","39,554"
2017,WAS,Washington Nationals,Nationals Park,"2,524,980","31,173"
2016,ARI,Arizona Diamondbacks,Chase Field,"2,036,216","25,138"
2016,ATL,Atlanta Braves,"Fort Bragg Park, Turner Field","2,020,914","24,950"
2016,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,172,344","26,819"
2016,BOS,Boston Red Sox,Fenway Park,"2,955,434","36,487"
2016,CHC,Chicago Cubs,Wrigley Field,"3,232,420","39,906"
2016,CWS,Chicago White Sox,U.S. Cellular Field,"1,746,293","21,559"
2016,CIN,Cincinnati Reds,Great American Ball Park,"1,894,085","23,384"
2016,CLE,Cleveland Indians,Progressive Field,"1,591,667","19,650"
2016,COL,Colorado Rockies,Coors Field,"2,602,524","32,130"
2016,DET,Detroit Tigers,Comerica Park,"2,493,859","31,173"
2016,HOU,Houston Astros,Minute Maid Park,"2,306,623","28,477"
