year,team_abbr,team_name_full,stadium,attendance_total,attendance_game
2008,PIT,Pittsburgh Pirates,PNC Park,"1,609,076","19,865"
2008,SD,San Diego Padres,Petco Park,"2,427,535","29,970"
2008,SF,San Francisco Giants,AT&T Park,"2,863,837","35,356"
2008,SEA,Seattle Mariners,Safeco Field,"2,329,702","28,762"
2008,STL,St. Louis Cardinals,Busch Stadium III,"3,432,917","42,382"
2008,TB,Tampa Bay Rays,"Ballpark at Disney's Wide World of Sports, Tropicana Field","1,811,986","22,370"
2008,TEX,Texas Rangers,Rangers Ballpark in Arlington,"1,945,677","24,021"
2008,TOR,Toronto Blue Jays,Rogers Centre,"2,399,786","29,627"
2008,WAS,Washington Nationals,Nationals Park,"2,320,400",2
2007,ARI,Arizona Diamondbacks,Chase Field,"2,325,249","28,707"
2007,ATL,Atlanta Braves,Turner Field,"2,745,207","33,891"
2007,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,164,822","26,726"
2007,BOS,Boston Red Sox,Fenway Park,"2,970,755","36,676"
2007,CHC,Chicago Cubs,Wrigley Field,"3,252,462","40,154"
2007,CWS,Chicago White Sox,U.S. Cellular Field,"2,684,395","33,141"
2007,CIN,Cincinnati Reds,Great American Ball Park,"2,058,593","25,415"
2007,CLE,Cleveland Indians,"Jacobs Field, Miller Park","2,275,912","28,449"
2007,COL,Colorado Rockies,Coors Field,"2,376,250","28,979"
2007,DET,Detroit Tigers,Comerica Park,"3,047,133","37,619"
2007,MIA,Florida Marlins,Dolphin Stadium,"1,370,511","16,920"
2007,HOU,Houston Astros,Minute Maid Park,"3,020,405","37,289"
2007,KC,Kansas City Royals,Kauffman Stadium,"1,616,867","19,961"
2007,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,"3,365,632","41,551"
2007,LAD,Los Angeles Dodgers,Dodger Stadium,"3,857,036","47,618"
2007,MIL,Milwaukee Brewers,Miller Park,"2,869,144","35,422"
2007,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"2,296,383","28,350"
2007,NYM,New York Mets,Shea Stadium,"3,853,955","47,580"
2007,NYY,New York Yankees,Yankee Stadium II,"4,271,083","52,729"
2007,ATH,Oakland Athletics,McAfee Coliseum,"1,921,844","23,726"
2007,PHI,Philadelphia Phillies,Citizens Bank Park,"3,108,325","38,374"
2007,PIT,Pittsburgh Pirates,PNC Park,"1,749,142","21,594"
2007,SD,San Diego Padres,Petco Park,"2,790,074","34,445"
2007,SF,San Francisco Giants,AT&T Park,"3,223,215","39,793"
2007,SEA,Seattle Mariners,Safeco Field,"2,672,223","32,588"
2007,STL,St. Louis Cardinals,Busch Stadium III,"3,552,180","43,854"
2007,TB,Tampa Bay Devil Rays,"Ballpark at Disney's Wide World of Sports, Tropicana Field","1,387,603","17,131"
2007,TEX,Texas Rangers,Ameriquest Field,"2,353,862","29,060"
2007,TOR,Toronto Blue Jays,Rogers Centre,"2,360,644","29,144"
2007,WAS,Washington Nationals,Robert F. Kennedy Stadium,"1,943,812","23,998"
2006,ARI,Arizona Diamondbacks,Chase Field,"2,091,685","25,823"
2006,ATL,Atlanta Braves,Turner Field,"2,550,524","31,488"
2006,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,153,139","26,582"
2006,BOS,Boston Red Sox,Fenway Park,"2,930,588","36,180"
2006,CHC,Chicago Cubs,Wrigley Field,"3,123,215","38,558"
2006,CWS,Chicago White Sox,U.S. Cellular Field,"2,957,414","36,511"
2006,CIN,Cincinnati Reds,Great American Ball Park,"2,134,607","26,353"
2006,CLE,Cleveland Indians,Jacobs Field,"1,997,995","24,667"
2006,COL,Colorado Rockies,Coors Field,"2,104,362","25,980"
2006,DET,Detroit Tigers,Comerica Park,"2,595,937","32,049"
2006,MIA,Florida Marlins,Dolphins Stadium,"1,164,134","14,372"
2006,HOU,Houston Astros,Minute Maid Park,"3,022,763","37,318"
2006,KC,Kansas City Royals,Kauffman Stadium,"1,372,638","16,946"
2006,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,"3,406,790","42,059"
2006,LAD,Los Angeles Dodgers,Dodger Stadium,"3,758,545","46,402"
2006,MIL,Milwaukee Brewers,Miller Park,"2,335,643","28,835"
2006,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"2,285,018","28,210"
2006,NYM,New York Mets,Shea Stadium,"3,379,535","41,723"
2006,NYY,New York Yankees,Yankee Stadium II,"4,248,067","52,445"
2006,ATH,Oakland Athletics,McAfee Coliseum,"1,976,625","24,403"
2006,PHI,Philadelphia Phillies,Citizens Bank Park,"2,701,815","33,356"
2006,PIT,Pittsburgh Pirates,PNC Park,"1,861,549","22,982"
2006,SD,San Diego Padres,Petco Park,"2,659,757","32,837"
2006,SF,San Francisco Giants,AT&T Park,"3,130,313","38,646"
2006,SEA,Seattle Mariners,Safeco Field,"2,481,165","30,632"
2006,STL,St. Louis Cardinals,Busch Stadium III,"3,407,104","42,589"
2006,TB,Tampa Bay Devil Rays,Tropicana Field,"1,368,950","16,901"
2006,TEX,Texas Rangers,Ameriquest Field,"2,388,757","29,491"
2006,TOR,Toronto Blue Jays,Rogers Centre,"2,302,212","28,422"
2006,WAS,Washington Nationals,Robert F. Kennedy Stadium,"2,153,056","26,581"
2005,ARI,Arizona Diamondbacks,Bank One Ballpark,"2,059,424","25,425"
2005,ATL,Atlanta Braves,Turner Field,"2,521,167","31,126"
2005,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,624,740","32,404"
2005,BOS,Boston Red Sox,Fenway Park,"2,847,888","35,159"
2005,CHC,Chicago Cubs,Wrigley Field,"3,099,992","38,272"
2005,CWS,Chicago White Sox,U.S. Cellular Field,"2,342,833","28,924"
2005,CIN,Cincinnati Reds,Great American Ball Park,"1,943,067","23,696"
2005,CLE,Cleveland Indians,Jacobs Field,"2,013,763","24,861"
2005,COL,Colorado Rockies,Coors Field,"1,914,389","23,634"
2005,DET,Detroit Tigers,Comerica Park,"2,024,431","24,993"
2005,MIA,Florida Marlins,Dolphins Stadium,"1,852,608","22,872"
2005,HOU,Houston Astros,Minute Maid Park,"2,804,760","34,627"
2005,KC,Kansas City Royals,Kauffman Stadium,"1,371,181","16,928"
2005,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,"3,404,686","42,033"
2005,LAD,Los Angeles Dodgers,Dodger Stadium,"3,603,646","44,489"
2005,MIL,Milwaukee Brewers,Miller Park,"2,211,023","27,297"
2005,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"2,034,243","25,114"
2005,NYM,New York Mets,Shea Stadium,"2,829,929","34,937"
2005,NYY,New York Yankees,Yankee Stadium II,"4,090,696","50,502"
2005,ATH,Oakland Athletics,McAfee Coliseum,"2,109,118","26,038"
2005,PHI,Philadelphia Phillies,Citizens Bank Park,"2,665,304","32,905"
2005,PIT,Pittsburgh Pirates,PNC Park,"1,817,245","22,435"
2005,SD,San Diego Padres,Petco Park,"2,869,787","35,429"
2005,SF,San Francisco Giants,SBC Park,"3,181,023","39,272"
2005,SEA,Seattle Mariners,Safeco Field,"2,725,459","33,648"
2005,STL,St. Louis Cardinals,Busch Stadium II,"3,538,988","43,691"
2005,TB,Tampa Bay Devil Rays,Tropicana Field,"1,141,669","14,095"
2005,TEX,Texas Rangers,Ameriquest Field,"2,525,221","31,176"
2005,TOR,Toronto Blue Jays,Rogers Centre,"2,014,995","24,876"
2005,WAS,Washington Nationals,Robert F. Kennedy Stadium,"2,731,993","33,728"
2004,LAA,Anaheim Angels,Angel Stadium of Anaheim,"3,375,677","41,675"
2004,ARI,Arizona Diamondbacks,Bank One Ballpark,"2,519,560","31,106"
2004,ATL,Atlanta Braves,Turner Field,"2,327,565","28,735"
2004,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,744,018","33,877"
2004,BOS,Boston Red Sox,Fenway Park,"2,837,294","35,028"
2004,CHC,Chicago Cubs,Wrigley Field,"3,170,154","38,660"
2004,CWS,Chicago White Sox,U.S. Cellular Field,"1,930,537","23,834"
2004,CIN,Cincinnati Reds,Great American Ball Park,"2,287,250","28,238"
2004,CLE,Cleveland Indians,Jacobs Field,"1,814,401","22,400"
2004,COL,Colorado Rockies,Coors Field,"2,338,069","28,865"
2004,DET,Detroit Tigers,Comerica Park,"1,917,004","23,667"
2004,MIA,Florida Marlins,"Pro Player Stadium, U.S. Cellular Field","1,723,105","21,539"
2004,HOU,Houston Astros,Minute Maid Park,"3,087,872","38,122"
2004,KC,Kansas City Royals,Kauffman Stadium,"1,661,478","20,768"
2004,LAD,Los Angeles Dodgers,Dodger Stadium,"3,488,283","43,065"
2004,MIL,Milwaukee Brewers,Miller Park,"2,062,382","25,462"
2004,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"1,911,490","23,599"
2004,WAS,Montreal Expos,"Estadio Hiram Bithorn, Stade Olympique","749,550","9,369"
2004,NYM,New York Mets,Shea Stadium,"2,318,951","28,629"
2004,NYY,New York Yankees,Yankee Stadium II,"3,775,292","46,609"
2004,ATH,Oakland Athletics,Network Associates Coliseum,"2,201,516","27,179"
2004,PHI,Philadelphia Phillies,Citizens Bank Park,"3,250,092","40,125"
2004,PIT,Pittsburgh Pirates,PNC Park,"1,580,031","19,750"
2004,SD,San Diego Padres,Petco Park,"3,016,752","37,244"
2004,SF,San Francisco Giants,SBC Park,"3,256,854","39,718"
2004,SEA,Seattle Mariners,Safeco Field,"2,940,731","35,863"
2004,STL,St. Louis Cardinals,Busch Stadium II,"3,048,427","37,635"
2004,TB,Tampa Bay Devil Rays,"Tokyo Dome, Tropicana Field","1,274,911","15,936"
2004,TEX,Texas Rangers,The Ballpark in Arlington,"2,513,685","31,033"
2004,TOR,Toronto Blue Jays,SkyDome,"1,900,041","23,457"
2003,LAA,Anaheim Angels,Edison Field,"3,061,094","37,330"
2003,ARI,Arizona Diamondbacks,Bank One Ballpark,"2,805,542","34,636"
2003,ATL,Atlanta Braves,Turner Field,"2,401,084","29,643"
2003,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,454,523","30,303"
2003,BOS,Boston Red Sox,Fenway Park,"2,724,165","33,632"
2003,CHC,Chicago Cubs,Wrigley Field,"2,962,630","36,576"
2003,CWS,Chicago White Sox,U.S. Cellular Field,"1,939,524","23,945"
2003,CIN,Cincinnati Reds,Great American Ball Park,"2,355,259","29,077"
2003,CLE,Cleveland Indians,Jacobs Field,"1,730,002","21,358"
2003,COL,Colorado Rockies,Coors Field,"2,334,085","28,816"
2003,DET,Detroit Tigers,Comerica Park,"1,368,245","16,892"
2003,MIA,Florida Marlins,Pro Player Stadium,"1,303,215","16,089"
2003,HOU,Houston Astros,Minute Maid Park,"2,454,241","30,299"
2003,KC,Kansas City Royals,Kauffman Stadium,"1,779,895","22,249"
2003,LAD,Los Angeles Dodgers,Dodger Stadium,"3,138,626","38,748"
2003,MIL,Milwaukee Brewers,Miller Park,"1,700,354","20,992"
2003,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"1,946,011","24,025"
2003,WAS,Montreal Expos,"Estadio Hiram Bithorn, Stade Olympique","1,025,639","12,662"
2003,NYM,New York Mets,Shea Stadium,"2,140,599","26,757"
2003,NYY,New York Yankees,Yankee Stadium II,"3,465,600","42,263"
2003,ATH,Oakland Athletics,Network Associates Coliseum,"2,216,596","27,365"
2003,PHI,Philadelphia Phillies,Veterans Stadium,"2,259,948","27,901"
2003,PIT,Pittsburgh Pirates,PNC Park,"1,636,751","20,207"
2003,SD,San Diego Padres,Qualcomm Stadium,"2,030,084","25,063"
2003,SF,San Francisco Giants,Pacific Bell Park,"3,264,898","40,307"
2003,SEA,Seattle Mariners,Safeco Field,"3,268,509","40,352"
2003,STL,St. Louis Cardinals,Busch Stadium II,"2,910,386","35,931"
2003,TB,Tampa Bay Devil Rays,Tropicana Field,"1,058,695","13,070"
2003,TEX,Texas Rangers,The Ballpark in Arlington,"2,094,394","25,857"
2003,TOR,Toronto Blue Jays,SkyDome,"1,799,458","22,216"
2002,LAA,Anaheim Angels,Edison Field,"2,305,547","28,464"
2002,ARI,Arizona Diamondbacks,Bank One Ballpark,"3,198,977","39,494"
2002,ATL,Atlanta Braves,Turner Field,"2,603,484","32,142"
2002,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,682,439","33,117"
2002,BOS,Boston Red Sox,Fenway Park,"2,650,862","32,727"
2002,CHC,Chicago Cubs,Wrigley Field,"2,693,096","33,248"
2002,CWS,Chicago White Sox,Comiskey Park II,"1,676,911","20,703"
2002,CIN,Cincinnati Reds,Cinergy Field,"1,855,787","22,911"
2002,CLE,Cleveland Indians,Jacobs Field,"2,616,940","32,308"
2002,COL,Colorado Rockies,Coors Field,"2,737,838","33,800"
2002,DET,Detroit Tigers,Comerica Park,"1,503,623","18,795"
2002,MIA,Florida Marlins,Pro Player Stadium,"813,118","10,038"
2002,HOU,Houston Astros,Minute Maid Park,"2,517,357","31,078"
2002,KC,Kansas City Royals,Kauffman Stadium,"1,323,036","16,334"
2002,LAD,Los Angeles Dodgers,Dodger Stadium,"3,131,255","38,657"
2002,MIL,Milwaukee Brewers,Miller Park,"1,969,153","24,311"
2002,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"1,924,473","23,759"
2002,WAS,Montreal Expos,Stade Olympique,"812,045","10,025"
2002,NYM,New York Mets,Shea Stadium,"2,804,838","34,628"
2002,NYY,New York Yankees,Yankee Stadium II,"3,465,807","43,323"
2002,ATH,Oakland Athletics,Network Associates Coliseum,"2,169,811","26,788"
2002,PHI,Philadelphia Phillies,Veterans Stadium,"1,618,467","20,231"
2002,PIT,Pittsburgh Pirates,PNC Park,"1,784,988","22,312"
2002,SD,San Diego Padres,Qualcomm Stadium,"2,220,601","27,415"
2002,SF,San Francisco Giants,Pacific Bell Park,"3,253,203","40,163"
2002,SEA,Seattle Mariners,Safeco Field,"3,542,938","43,740"
2002,STL,St. Louis Cardinals,Busch Stadium II,"3,011,756","37,182"
2002,TB,Tampa Bay Devil Rays,Tropicana Field,"1,065,742","13,157"
2002,TEX,Texas Rangers,The Ballpark in Arlington,"2,352,397","29,042"
2002,TOR,Toronto Blue Jays,SkyDome,"1,637,900","20,221"
2001,LAA,Anaheim Angels,Edison Field,"2,000,919","24,703"
2001,ARI,Arizona Diamondbacks,Bank One Ballpark,"2,736,451","33,783"
2001,ATL,Atlanta Braves,Turner Field,"2,823,530","34,858"
2001,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"3,094,841","38,686"
2001,BOS,Boston Red Sox,Fenway Park,"2,625,333","32,412"
2001,CHC,Chicago Cubs,Wrigley Field,"2,779,465","34,314"
2001,CWS,Chicago White Sox,Comiskey Park II,"1,766,172","21,805"
2001,CIN,Cincinnati Reds,Cinergy Field,"1,879,757","23,207"
2001,CLE,Cleveland Indians,Jacobs Field,"3,175,523","39,694"
2001,COL,Colorado Rockies,Coors Field,"3,166,821","39,097"
2001,DET,Detroit Tigers,Comerica Park,"1,921,305","23,720"
2001,MIA,Florida Marlins,Pro Player Stadium,"1,261,226","15,765"
2001,HOU,Houston Astros,Enron Field,"2,904,277","35,855"
2001,KC,Kansas City Royals,Kauffman Stadium,"1,536,371","18,968"
2001,LAD,Los Angeles Dodgers,Dodger Stadium,"3,017,143","37,249"
2001,MIL,Milwaukee Brewers,Miller Park,"2,811,041","34,704"
2001,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"1,782,929","22,011"
2001,WAS,Montreal Expos,Stade Olympique,"642,745","7,935"
2001,NYM,New York Mets,Shea Stadium,"2,658,330","32,819"
2001,NYY,New York Yankees,Yankee Stadium II,"3,264,907","40,811"
2001,ATH,Oakland Athletics,Network Associates Coliseum,"2,133,277","26,337"
2001,PHI,Philadelphia Phillies,Veterans Stadium,"1,782,054","22,001"
2001,PIT,Pittsburgh Pirates,PNC Park,"2,464,870","30,430"
2001,SD,San Diego Padres,Qualcomm Stadium,"2,378,128","29,360"
2001,SF,San Francisco Giants,Pacific Bell Park,"3,311,958","40,888"
2001,SEA,Seattle Mariners,Safeco Field,"3,507,326","43,300"
2001,STL,St. Louis Cardinals,Busch Stadium II,"3,109,578","37,922"
2001,TB,Tampa Bay Devil Rays,Tropicana Field,"1,298,365","16,029"
2001,TEX,Texas Rangers,The Ballpark in Arlington,"2,831,021","34,525"
2001,TOR,Toronto Blue Jays,"Estadio Hiram Bithorn, SkyDome","1,915,438","23,359"
2000,LAA,Anaheim Angels,Edison Field,"2,066,982","25,518"
2000,ARI,Arizona Diamondbacks,Bank One Ballpark,"2,942,251","36,324"
2000,ATL,Atlanta Braves,Turner Field,"3,234,304","39,930"
2000,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"3,297,031","40,704"
2000,BOS,Boston Red Sox,Fenway Park,"2,585,895","31,925"
2000,CHC,Chicago Cubs,"Tokyo Dome, Wrigley Field","2,789,511","34,438"
2000,CWS,Chicago White Sox,Comiskey Park II,"1,947,799","24,047"
2000,CIN,Cincinnati Reds,Cinergy Field,"2,577,371","31,431"
2000,CLE,Cleveland Indians,Jacobs Field,"3,456,278","42,670"
2000,COL,Colorado Rockies,Coors Field,"3,295,129","40,681"
2000,DET,Detroit Tigers,Comerica Park,"2,438,617","30,106"
2000,MIA,Florida Marlins,Pro Player Stadium,"1,218,326","15,041"
2000,HOU,Houston Astros,Enron Field,"3,056,139","37,730"
2000,KC,Kansas City Royals,Kauffman Stadium,"1,564,847","19,319"
2000,LAD,Los Angeles Dodgers,Dodger Stadium,"2,880,242","35,559"
2000,MIL,Milwaukee Brewers,County Stadium,"1,573,621","19,427"
2000,MIN,Minnesota Twins,Hubert H. Humphrey Metrodome,"1,000,760","12,355"
2000,WAS,Montreal Expos,Stade Olympique,"926,272","11,435"
2000,NYM,New York Mets,"Shea Stadium, Tokyo Dome","2,820,530","34,821"
2000,NYY,New York Yankees,Yankee Stadium II,"3,055,435","38,193"
2000,ATH,Oakland Athletics,Network Associates Coliseum,"1,603,744","19,799"
2000,PHI,Philadelphia Phillies,Veterans Stadium,"1,612,769","19,911"
2000,PIT,Pittsburgh Pirates,Three Rivers Stadium,"1,748,908","21,591"
2000,SD,San Diego Padres,Qualcomm Stadium,"2,352,443","29,043"
2000,SF,San Francisco Giants,Pacific Bell Park,"3,318,800","40,973"
2000,SEA,Seattle Mariners,Safeco Field,"2,914,624","35,983"
2000,STL,St. Louis Cardinals,Busch Stadium II,"3,336,493","41,191"
2000,TB,Tampa Bay Devil Rays,Tropicana Field,"1,449,673","18,121"
2000,TEX,Texas Rangers,The Ballpark in Arlington,"2,588,401","31,956"
2000,TOR,Toronto Blue Jays,SkyDome,"1,705,712","21,058"